time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-04T19:32:02.220Z,52.8608,160.4897,43.29,4.7,mb,,147,1.125,1.24,us,usc000tlpx,2015-02-05T03:34:28.866Z,"125km E of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-02-04T19:17:18.960Z,39.1778333,-123.1798333,7.26,2.62,md,32,40,0.09819,0.06,nc,nc72391866,2015-02-05T07:40:35.740Z,"3km NE of Ukiah, California",earthquake
2015-02-04T19:15:34.000Z,68.1642,-145.4806,6.4,2.6,ml,,,,0.97,ak,ak11502493,2015-02-05T03:18:08.347Z,"4km NNE of Arctic Village, Alaska",earthquake
2015-02-04T19:04:00.184Z,37.1773,-116.7377,15.631,1.39,ml,14,144.95,0.225,0.1117,nn,nn00480992,2015-02-04T19:20:36.526Z,"29km N of Beatty, Nevada",earthquake
2015-02-04T18:54:28.076Z,39.3942,-119.8116,4.5536,0.67,ml,11,96.19,0.037,0.1401,nn,nn00481018,2015-02-04T21:50:14.407Z,"15km S of Reno, Nevada",earthquake
2015-02-04T18:49:47.200Z,36.6061,-98.4374,4.257,2.6,ml,,110,,0.59,us,usc000tlq1,2015-02-05T02:52:13.179Z,"16km WNW of Helena, Oklahoma",earthquake
2015-02-04T18:20:48.040Z,36.814,-98.289,4.6,3.2,ml,,,,0.42,us,usc000tlld,2015-02-05T01:48:25.958Z,"8km NE of Cherokee, Oklahoma",earthquake
2015-02-04T18:20:14.140Z,38.8325005,-122.8098297,1.35,0.38,md,9,62,0.02094,0.03,nc,nc72391851,2015-02-04T19:09:01.818Z,"7km W of Cobb, California",earthquake
2015-02-04T18:05:03.060Z,38.8230019,-122.7926636,3.2,1.38,md,30,31,0.0135,0.03,nc,nc72391846,2015-02-04T18:50:03.658Z,"5km NNW of The Geysers, California",earthquake
2015-02-04T18:00:48.660Z,38.8056679,-122.8186646,3.76,0.31,md,13,117,0.008814,0.01,nc,nc72391841,2015-02-04T18:02:26.190Z,"6km WNW of The Geysers, California",earthquake
2015-02-04T17:47:37.840Z,37.5493333,-118.8018333,11.2,1.08,md,30,131,0.04604,0.04,nc,nc72391821,2015-02-05T05:30:03.062Z,"18km SE of Mammoth Lakes, California",earthquake
2015-02-04T17:43:35.420Z,35.682,-97.128,5.5,2.5,ml,,,,0.35,us,usc000tlss,2015-02-05T00:02:25.364Z,"6km ENE of Luther, Oklahoma",earthquake
2015-02-04T17:41:43.910Z,-0.1641,124.9869,48.51,5.2,mb,,42,2.38,0.94,us,usc000tlkz,2015-02-05T01:44:28.737Z,"117km SE of Modayag, Indonesia",earthquake
2015-02-04T17:33:38.540Z,38.7621651,-122.7251663,1.9,1.17,md,13,175,0.0127,0.07,nc,nc72391811,2015-02-04T21:09:08.023Z,"3km ESE of The Geysers, California",earthquake
2015-02-04T17:24:44.630Z,37.6575,-118.8705,4.06,0.24,md,10,159,0.02466,0.03,nc,nc72391806,2015-02-04T19:28:03.470Z,"9km E of Mammoth Lakes, California",earthquake
2015-02-04T17:24:37.000Z,38.8226662,-122.7633362,2.67,0.99,md,16,53,0.009334,0.03,nc,nc72391801,2015-02-04T17:52:05.917Z,"3km W of Cobb, California",earthquake
